,name,region,sex,year,times_compete
49,Kuo Hsingchun,Asia,F,2023,1
49,Kuo Hsingchun,Asia,F,2022,0
49,Kuo Hsingchun,Asia,F,2021,3
49,Kuo Hsingchun,Asia,F,2020,2
49,Kuo Hsingchun,Asia,F,2019,4
49,Kuo Hsingchun,Asia,F,2018,1
49,Kuo Hsingchun,Asia,F,2017,6
49,Kuo Hsingchun,Asia,F,2016,1
49,Kuo Hsingchun,Asia,F,2015,0
49,Kuo Hsingchun,Asia,F,2014,0
49,Kuo Hsingchun,Asia,F,2013,0
50,Jiang Huihua,Asia,F,2023,0
50,Jiang Huihua,Asia,F,2022,0
50,Jiang Huihua,Asia,F,2021,0
50,Jiang Huihua,Asia,F,2020,0
50,Jiang Huihua,Asia,F,2019,0
50,Jiang Huihua,Asia,F,2018,0
50,Jiang Huihua,Asia,F,2017,0
50,Jiang Huihua,Asia,F,2016,0
50,Jiang Huihua,Asia,F,2015,0
50,Jiang Huihua,Asia,F,2014,0
50,Jiang Huihua,Asia,F,2013,0
51,Luo Shifang,Asia,F,2023,0
51,Luo Shifang,Asia,F,2022,0
51,Luo Shifang,Asia,F,2021,0
51,Luo Shifang,Asia,F,2020,0
51,Luo Shifang,Asia,F,2019,0
51,Luo Shifang,Asia,F,2018,0
51,Luo Shifang,Asia,F,2017,0
51,Luo Shifang,Asia,F,2016,0
51,Luo Shifang,Asia,F,2015,0
51,Luo Shifang,Asia,F,2014,0
51,Luo Shifang,Asia,F,2013,0
52,Pei Xinyi,Asia,F,2023,1
52,Pei Xinyi,Asia,F,2022,0
52,Pei Xinyi,Asia,F,2021,0
52,Pei Xinyi,Asia,F,2020,0
52,Pei Xinyi,Asia,F,2019,0
52,Pei Xinyi,Asia,F,2018,0
52,Pei Xinyi,Asia,F,2017,0
52,Pei Xinyi,Asia,F,2016,0
52,Pei Xinyi,Asia,F,2015,0
52,Pei Xinyi,Asia,F,2014,0
52,Pei Xinyi,Asia,F,2013,0
53,Liao Guifang,Asia,F,2023,3
53,Liao Guifang,Asia,F,2022,0
53,Liao Guifang,Asia,F,2021,0
53,Liao Guifang,Asia,F,2020,0
53,Liao Guifang,Asia,F,2019,0
53,Liao Guifang,Asia,F,2018,0
53,Liao Guifang,Asia,F,2017,0
53,Liao Guifang,Asia,F,2016,0
53,Liao Guifang,Asia,F,2015,0
53,Liao Guifang,Asia,F,2014,0
53,Liao Guifang,Asia,F,2013,0
54,Loredana Toma,Europe,F,2023,4
54,Loredana Toma,Europe,F,2022,5
54,Loredana Toma,Europe,F,2021,3
54,Loredana Toma,Europe,F,2020,5
54,Loredana Toma,Europe,F,2019,5
54,Loredana Toma,Europe,F,2018,3
54,Loredana Toma,Europe,F,2017,6
54,Loredana Toma,Europe,F,2016,0
54,Loredana Toma,Europe,F,2015,0
54,Loredana Toma,Europe,F,2014,0
54,Loredana Toma,Europe,F,2013,0
55,Kate Vibert,Americas,F,2023,2
55,Kate Vibert,Americas,F,2022,4
55,Kate Vibert,Americas,F,2021,3
55,Kate Vibert,Americas,F,2020,1
55,Kate Vibert,Americas,F,2019,5
55,Kate Vibert,Americas,F,2018,5
55,Kate Vibert,Americas,F,2017,2
55,Kate Vibert,Americas,F,2016,0
55,Kate Vibert,Americas,F,2015,0
55,Kate Vibert,Americas,F,2014,0
55,Kate Vibert,Americas,F,2013,0
56,Gomiita Gomez,Americas,F,2023,1
56,Gomiita Gomez,Americas,F,2022,0
56,Gomiita Gomez,Americas,F,2021,0
56,Gomiita Gomez,Americas,F,2020,0
56,Gomiita Gomez,Americas,F,2019,0
56,Gomiita Gomez,Americas,F,2018,0
56,Gomiita Gomez,Americas,F,2017,0
56,Gomiita Gomez,Americas,F,2016,0
56,Gomiita Gomez,Americas,F,2015,0
56,Gomiita Gomez,Americas,F,2014,0
56,Gomiita Gomez,Americas,F,2013,0
57,Guilia Imperio,Europe,F,2023,1
57,Guilia Imperio,Europe,F,2022,0
57,Guilia Imperio,Europe,F,2021,2
57,Guilia Imperio,Europe,F,2020,0
57,Guilia Imperio,Europe,F,2019,0
57,Guilia Imperio,Europe,F,2018,0
57,Guilia Imperio,Europe,F,2017,0
57,Guilia Imperio,Europe,F,2016,0
57,Guilia Imperio,Europe,F,2015,0
57,Guilia Imperio,Europe,F,2014,0
57,Guilia Imperio,Europe,F,2013,0
58,Guilia Miserendino,Europe,F,2023,1
58,Guilia Miserendino,Europe,F,2022,2
58,Guilia Miserendino,Europe,F,2021,2
58,Guilia Miserendino,Europe,F,2020,1
58,Guilia Miserendino,Europe,F,2019,0
58,Guilia Miserendino,Europe,F,2018,0
58,Guilia Miserendino,Europe,F,2017,0
58,Guilia Miserendino,Europe,F,2016,0
58,Guilia Miserendino,Europe,F,2015,0
58,Guilia Miserendino,Europe,F,2014,0
58,Guilia Miserendino,Europe,F,2013,0
59,Mattie Rogers,Americas,F,2023,1
59,Mattie Rogers,Americas,F,2022,4
59,Mattie Rogers,Americas,F,2021,5
59,Mattie Rogers,Americas,F,2020,2
59,Mattie Rogers,Americas,F,2019,3
59,Mattie Rogers,Americas,F,2018,7
59,Mattie Rogers,Americas,F,2017,11
59,Mattie Rogers,Americas,F,2016,15
59,Mattie Rogers,Americas,F,2015,10
59,Mattie Rogers,Americas,F,2014,4
59,Mattie Rogers,Americas,F,2013,0
60,Yenny Alvarez,Americas,F,2023,0
60,Yenny Alvarez,Americas,F,2022,2
60,Yenny Alvarez,Americas,F,2021,2
60,Yenny Alvarez,Americas,F,2020,0
60,Yenny Alvarez,Americas,F,2019,0
60,Yenny Alvarez,Americas,F,2018,0
60,Yenny Alvarez,Americas,F,2017,0
60,Yenny Alvarez,Americas,F,2016,1
60,Yenny Alvarez,Americas,F,2015,2
60,Yenny Alvarez,Americas,F,2014,0
60,Yenny Alvarez,Americas,F,2013,0
61,Sara Ahmed,,F,2023,0
61,Sara Ahmed,,F,2022,2
61,Sara Ahmed,,F,2021,0
61,Sara Ahmed,,F,2020,0
61,Sara Ahmed,,F,2019,0
61,Sara Ahmed,,F,2018,0
61,Sara Ahmed,,F,2017,0
61,Sara Ahmed,,F,2016,0
61,Sara Ahmed,,F,2015,0
61,Sara Ahmed,,F,2014,0
61,Sara Ahmed,,F,2013,0
62,Mirabai Chanu,,F,2023,0
62,Mirabai Chanu,,F,2022,0
62,Mirabai Chanu,,F,2021,1
62,Mirabai Chanu,,F,2020,0
62,Mirabai Chanu,,F,2019,0
62,Mirabai Chanu,,F,2018,1
62,Mirabai Chanu,,F,2017,0
62,Mirabai Chanu,,F,2016,0
62,Mirabai Chanu,,F,2015,0
62,Mirabai Chanu,,F,2014,0
62,Mirabai Chanu,,F,2013,0
63,Kim Su-hyon,,F,2023,0
63,Kim Su-hyon,,F,2022,0
63,Kim Su-hyon,,F,2021,2
63,Kim Su-hyon,,F,2020,0
63,Kim Su-hyon,,F,2019,0
63,Kim Su-hyon,,F,2018,0
63,Kim Su-hyon,,F,2017,0
63,Kim Su-hyon,,F,2016,0
63,Kim Su-hyon,,F,2015,0
63,Kim Su-hyon,,F,2014,0
63,Kim Su-hyon,,F,2013,0
64,Morghan King,,F,2023,0
64,Morghan King,,F,2022,0
64,Morghan King,,F,2021,0
64,Morghan King,,F,2020,0
64,Morghan King,,F,2019,0
64,Morghan King,,F,2018,0
64,Morghan King,,F,2017,2
64,Morghan King,,F,2016,6
64,Morghan King,,F,2015,3
64,Morghan King,,F,2014,8
64,Morghan King,,F,2013,0
65,Neisi Dajomes,,F,2023,1
65,Neisi Dajomes,,F,2022,2
65,Neisi Dajomes,,F,2021,3
65,Neisi Dajomes,,F,2020,0
65,Neisi Dajomes,,F,2019,0
65,Neisi Dajomes,,F,2018,3
65,Neisi Dajomes,,F,2017,4
65,Neisi Dajomes,,F,2016,1
65,Neisi Dajomes,,F,2015,0
65,Neisi Dajomes,,F,2014,0
65,Neisi Dajomes,,F,2013,0
66,Angie Dajomes,,F,2023,3
66,Angie Dajomes,,F,2022,2
66,Angie Dajomes,,F,2021,0
66,Angie Dajomes,,F,2020,0
66,Angie Dajomes,,F,2019,1
66,Angie Dajomes,,F,2018,0
66,Angie Dajomes,,F,2017,0
66,Angie Dajomes,,F,2016,0
66,Angie Dajomes,,F,2015,0
66,Angie Dajomes,,F,2014,0
66,Angie Dajomes,,F,2013,0
67,Lydia Valentín,,F,2023,0
67,Lydia Valentín,,F,2022,0
67,Lydia Valentín,,F,2021,3
67,Lydia Valentín,,F,2020,0
67,Lydia Valentín,,F,2019,1
67,Lydia Valentín,,F,2018,3
67,Lydia Valentín,,F,2017,5
67,Lydia Valentín,,F,2016,2
67,Lydia Valentín,,F,2015,0
67,Lydia Valentín,,F,2014,0
67,Lydia Valentín,,F,2013,0
68,Rebeka Koha,,F,2023,0
68,Rebeka Koha,,F,2022,0
68,Rebeka Koha,,F,2021,0
68,Rebeka Koha,,F,2020,0
68,Rebeka Koha,,F,2019,2
68,Rebeka Koha,,F,2018,1
68,Rebeka Koha,,F,2017,12
68,Rebeka Koha,,F,2016,3
68,Rebeka Koha,,F,2015,1
68,Rebeka Koha,,F,2014,0
68,Rebeka Koha,,F,2013,0
69,Maude Charron,,F,2023,2
69,Maude Charron,,F,2022,0
69,Maude Charron,,F,2021,2
69,Maude Charron,,F,2020,1
69,Maude Charron,,F,2019,2
69,Maude Charron,,F,2018,3
69,Maude Charron,,F,2017,2
69,Maude Charron,,F,2016,0
69,Maude Charron,,F,2015,0
69,Maude Charron,,F,2014,0
69,Maude Charron,,F,2013,0
70,Mihaela Cambei,,F,2023,4
70,Mihaela Cambei,,F,2022,3
70,Mihaela Cambei,,F,2021,2
70,Mihaela Cambei,,F,2020,0
70,Mihaela Cambei,,F,2019,0
70,Mihaela Cambei,,F,2018,0
70,Mihaela Cambei,,F,2017,2
70,Mihaela Cambei,,F,2016,0
70,Mihaela Cambei,,F,2015,0
70,Mihaela Cambei,,F,2014,0
70,Mihaela Cambei,,F,2013,0
71,Jourdan Delacruz,,F,2023,2
71,Jourdan Delacruz,,F,2022,1
71,Jourdan Delacruz,,F,2021,2
71,Jourdan Delacruz,,F,2020,2
71,Jourdan Delacruz,,F,2019,2
71,Jourdan Delacruz,,F,2018,7
71,Jourdan Delacruz,,F,2017,1
71,Jourdan Delacruz,,F,2016,7
71,Jourdan Delacruz,,F,2015,2
71,Jourdan Delacruz,,F,2014,0
71,Jourdan Delacruz,,F,2013,0
72,Jessica Lucero,,F,2023,0
72,Jessica Lucero,,F,2022,0
72,Jessica Lucero,,F,2021,0
72,Jessica Lucero,,F,2020,0
72,Jessica Lucero,,F,2019,3
72,Jessica Lucero,,F,2018,2
72,Jessica Lucero,,F,2017,2
72,Jessica Lucero,,F,2016,7
72,Jessica Lucero,,F,2015,4
72,Jessica Lucero,,F,2014,0
72,Jessica Lucero,,F,2013,0
73,Solfrid Koanda,,F,2023,1
73,Solfrid Koanda,,F,2022,0
73,Solfrid Koanda,,F,2021,2
73,Solfrid Koanda,,F,2020,0
73,Solfrid Koanda,,F,2019,0
73,Solfrid Koanda,,F,2018,0
73,Solfrid Koanda,,F,2017,0
73,Solfrid Koanda,,F,2016,0
73,Solfrid Koanda,,F,2015,0
73,Solfrid Koanda,,F,2014,0
73,Solfrid Koanda,,F,2013,0
74,Iryna Dekha,,F,2023,0
74,Iryna Dekha,,F,2022,0
74,Iryna Dekha,,F,2021,2
74,Iryna Dekha,,F,2020,0
74,Iryna Dekha,,F,2019,0
74,Iryna Dekha,,F,2018,0
74,Iryna Dekha,,F,2017,3
74,Iryna Dekha,,F,2016,1
74,Iryna Dekha,,F,2015,0
74,Iryna Dekha,,F,2014,0
74,Iryna Dekha,,F,2013,0
75,Hayley Reichardt,,F,2023,0
75,Hayley Reichardt,,F,2022,2
75,Hayley Reichardt,,F,2021,1
75,Hayley Reichardt,,F,2020,0
75,Hayley Reichardt,,F,2019,0
75,Hayley Reichardt,,F,2018,0
75,Hayley Reichardt,,F,2017,0
75,Hayley Reichardt,,F,2016,0
75,Hayley Reichardt,,F,2015,0
75,Hayley Reichardt,,F,2014,0
75,Hayley Reichardt,,F,2013,0
76,Olivia Reeves,,F,2023,1
76,Olivia Reeves,,F,2022,3
76,Olivia Reeves,,F,2021,1
76,Olivia Reeves,,F,2020,0
76,Olivia Reeves,,F,2019,0
76,Olivia Reeves,,F,2018,0
76,Olivia Reeves,,F,2017,0
76,Olivia Reeves,,F,2016,0
76,Olivia Reeves,,F,2015,0
76,Olivia Reeves,,F,2014,0
76,Olivia Reeves,,F,2013,0
77,Nina Stercx,,F,2023,0
77,Nina Stercx,,F,2022,3
77,Nina Stercx,,F,2021,2
77,Nina Stercx,,F,2020,0
77,Nina Stercx,,F,2019,2
77,Nina Stercx,,F,2018,1
77,Nina Stercx,,F,2017,0
77,Nina Stercx,,F,2016,0
77,Nina Stercx,,F,2015,0
77,Nina Stercx,,F,2014,0
77,Nina Stercx,,F,2013,0
78,Deng Wei,,F,2023,0
78,Deng Wei,,F,2022,0
78,Deng Wei,,F,2021,0
78,Deng Wei,,F,2020,2
78,Deng Wei,,F,2019,5
78,Deng Wei,,F,2018,0
78,Deng Wei,,F,2017,0
78,Deng Wei,,F,2016,3
78,Deng Wei,,F,2015,0
78,Deng Wei,,F,2014,0
78,Deng Wei,,F,2013,0
79,María Fernanda Valdés,,F,2023,0
79,María Fernanda Valdés,,F,2022,0
79,María Fernanda Valdés,,F,2021,1
79,María Fernanda Valdés,,F,2020,0
79,María Fernanda Valdés,,F,2019,0
79,María Fernanda Valdés,,F,2018,0
79,María Fernanda Valdés,,F,2017,0
79,María Fernanda Valdés,,F,2016,1
79,María Fernanda Valdés,,F,2015,0
79,María Fernanda Valdés,,F,2014,0
79,María Fernanda Valdés,,F,2013,0
80,Iam-My Siriwimon,,F,2023,2
80,Iam-My Siriwimon,,F,2022,0
80,Iam-My Siriwimon,,F,2021,0
80,Iam-My Siriwimon,,F,2020,0
80,Iam-My Siriwimon,,F,2019,0
80,Iam-My Siriwimon,,F,2018,0
80,Iam-My Siriwimon,,F,2017,0
80,Iam-My Siriwimon,,F,2016,0
80,Iam-My Siriwimon,,F,2015,0
80,Iam-My Siriwimon,,F,2014,0
80,Iam-My Siriwimon,,F,2013,0
81,Maddy Myers,,F,2023,0
81,Maddy Myers,,F,2022,0
81,Maddy Myers,,F,2021,0
81,Maddy Myers,,F,2020,0
81,Maddy Myers,,F,2019,0
81,Maddy Myers,,F,2018,0
81,Maddy Myers,,F,2017,7
81,Maddy Myers,,F,2016,5
81,Maddy Myers,,F,2015,4
81,Maddy Myers,,F,2014,0
81,Maddy Myers,,F,2013,0
82,Tatiana Kashirina,,F,2023,0
82,Tatiana Kashirina,,F,2022,0
82,Tatiana Kashirina,,F,2021,0
82,Tatiana Kashirina,,F,2020,0
82,Tatiana Kashirina,,F,2019,0
82,Tatiana Kashirina,,F,2018,0
82,Tatiana Kashirina,,F,2017,0
82,Tatiana Kashirina,,F,2016,0
82,Tatiana Kashirina,,F,2015,2
82,Tatiana Kashirina,,F,2014,0
82,Tatiana Kashirina,,F,2013,0
